id_product;product_name;attribute_name;attribute_value;Reference;wholesale_price;price;quantity;default_on;
"2052";"FarmFresh Mango Badami";"Numbers";"2 pc";"AA20522683";"35.000000";"45.000000";"50";"0";
"2053";"FarmFresh Payari Mango";"Quantity";"2 kg";"AA20532039";"330.000000";"356.000000";"50";"0";
"2053";"FarmFresh Payari Mango";"Quantity";"1 kg";"AA20532140";"165.000000";"178.000000";"50";"0";
"2053";"FarmFresh Payari Mango";"Quantity";"0.5 kg";"AA20532242";"80.000000";"89.000000";"50";"1";
"2054";"FarmFresh Jamun - Jambhar";"Quantity";"0.5 kg";"AA20542141";"162.000000";"156.000000";"50";"0";
"2054";"FarmFresh Jamun - Jambhar";"Quantity";"0.25 kg";"AA20542243";"81.000000";"78.000000";"50";"1";
"2054";"FarmFresh Jamun - Jambhar";"Quantity";"2 kg";"AA20542638";"648.000000";"624.000000";"50";"0";
"2055";"FarmFresh Jackfruit";"Quantity";"3 kg";"AA20552041";"0.000000";"504.000000";"50";"0";
"2055";"FarmFresh Jackfruit";"Quantity";"0.5 kg";"AA20552142";"0.000000";"84.000000";"50";"1";
"2055";"FarmFresh Jackfruit";"Quantity";"0.25 kg";"AA20552244";"0.000000";"42.000000";"50";"0";
"2056";"FarmFresh Pears Imported";"Quantity";"3 kg";"AA20562042";"0.000000";"294.000000";"0";"0";
"2056";"FarmFresh Pears Imported";"Quantity";"1 kg";"AA20562143";"0.000000";"196.000000";"0";"0";
"2056";"FarmFresh Pears Imported";"Quantity";"0.5 kg";"AA20562245";"0.000000";"98.000000";"0";"1";
"2057";"FarmFresh Sapodilla - Chiku";"Quantity";"3 kg";"AA20572043";"183.600000";"228.000000";"50";"0";
"2057";"FarmFresh Sapodilla - Chiku";"Quantity";"1 kg";"AA20572144";"61.200000";"76.000000";"50";"0";
"2057";"FarmFresh Sapodilla - Chiku";"Quantity";"0.5 kg";"AA20572246";"30.600000";"38.000000";"49";"1";
"2058";"FarmFresh Kairi";"Quantity";"3 kg";"AA20582044";"140.400000";"156.000000";"50";"0";
"2058";"FarmFresh Kairi";"Quantity";"0.5 kg";"AA20582145";"23.400000";"26.000000";"50";"0";
"2058";"FarmFresh Kairi";"Quantity";"0.25 kg";"AA20582247";"11.700000";"13.000000";"50";"1";
"2059";"FarmFresh KiwiFruit";"Numbers";"5 pc";"AA20592045";"144.000000";"160.000000";"50";"0";
"2059";"FarmFresh KiwiFruit";"Numbers";"2 pc";"AA20592146";"57.600000";"64.000000";"50";"0";
"2059";"FarmFresh KiwiFruit";"Numbers";"1 pc";"AA20592248";"28.800000";"32.000000";"46";"1";
"2060";"FarmFresh Kharbooja - MuskMelon";"Numbers";"5 pc";"AA20602046";"216.000000";"210.000000";"50";"0";
"2060";"FarmFresh Kharbooja - MuskMelon";"Numbers";"2 pc";"AA20602147";"86.400000";"84.000000";"49";"0";
"2060";"FarmFresh Kharbooja - MuskMelon";"Numbers";"1 pc";"AA20602249";"43.200000";"42.000000";"49";"1";
"2061";"FarmFresh Figs-Anjeer";"Quantity";"5 kg";"AA20612048";"0.000000";"350.000000";"50";"0";
"2061";"FarmFresh Figs-Anjeer";"Quantity";"1 kg";"AA20612149";"0.000000";"140.000000";"50";"0";
"2061";"FarmFresh Figs-Anjeer";"Quantity";"0.5 kg";"AA20612251";"0.000000";"70.000000";"49";"1";
"2062";"FarmFresh  Elaichi Banana";"Numbers";"2 dozen";"AA20622148";"124.200000";"138.000000";"50";"0";
"2062";"FarmFresh  Elaichi Banana";"Numbers";"1 dozen";"AA20622250";"0.000000";"69.000000";"47";"1";
"2063";"FarmFresh Lichi";"Quantity";"3 kg";"AA20632049";"745.200000";"980.000000";"0";"0";
