id_product;active;product_name;manufacturer;attribute_name;wholesale_price;price;quantity;
"105";"1";"Everest Turmeric (Haldi) Powder - Plastic Pack";"Everest Masala";"50 gm";"12.000000";"14.000000";"50";
"106";"1";"Everest  Coriander (Dhaniya) Powder- Plastic Pack";"Everest Masala";"500 gm";"135.000000";"150.000000";"47";
"106";"1";"Everest  Coriander (Dhaniya) Powder- Plastic Pack";"Everest Masala";"200 gms";"59.000000";"66.000000";"45";
"107";"1";"Everest Tikhalal Powder - Plastic Pack";"Everest Masala";"500 gm";"112.500000";"125.000000";"48";
"107";"1";"Everest Tikhalal Powder - Plastic Pack";"Everest Masala";"100 gm";"22.000000";"26.000000";"47";
"108";"1";"Everest Sambhar Masala - Carton Pack";"Everest Masala";"50 gm";"23.400000";"26.000000";"50";
"109";"1";"Daawat Biryani Basmati Rice ";"Daawat";"1 kg";"180.000000";"195.000000";"49";
"110";"1";"Daawat Pulav Basmati Rice";"Daawat";"1 kg";"144.000000";"160.000000";"48";
"111";"1";"Daawat Super Basmati Rice";"Daawat";"1 kg";"150.000000";"165.000000";"51";
"112";"1";"Daawat Brown Basmati Rice - Jar Package";"Daawat";"1 kg";"160.000000";"170.000000";"50";
"113";"1";"Suhana Veg Kolhapuri Mix";"Suhana Masala";"50 gm";"31.500000";"35.000000";"50";
"114";"1";"Suhana Paneer Tikka Masala Mix ";"Suhana Masala";"50 gm";"31.500000";"35.000000";"46";
"115";"1";"Suhana Palak Paneer Mix";"Suhana Masala";"50 gm";"30.000000";"35.000000";"46";
"116";"1";"Suhana Paneer Makhanwala Mix";"Suhana Masala";"50 gm";"31.000000";"35.000000";"46";
"117";"1";"Suhana Chicken Tikka Masala Mix";"";"80 gm";"40.500000";"45.000000";"50";
"118";"1";"Suhana Kahmiri Dum Aloo Mix";"";"50 gm";"31.500000";"35.000000";"50";
"119";"1";"Suhana Veg Biryani Mix";"";"50 gm";"31.500000";"35.000000";"50";
"120";"1";"Suhana Shahi Paneer Mix";"Suhana Masala";"50 gm";"31.000000";"35.000000";"47";
"121";"1";"Suhana Dal Makhni Mix";"Suhana Masala";"50 gm";"31.500000";"35.000000";"0";
"122";"1";"Suhana Butter Chicken Mix";"Suhana Masala";"50 gm";"27.000000";"30.000000";"38";
"123";"1";"Suhana Rajma Masala Mix";"Suhana Masala";"50 gm";"31.500000";"35.000000";"50";
"124";"1";"Everest Kitchen King Masala ";"Everest Masala";"100 gm";"54.000000";"60.000000";"48";
"124";"1";"Everest Kitchen King Masala ";"Everest Masala";"50 gm";"23.000000";"30.000000";"50";
"125";"1";"Everest Kasuri Methi";"Everest Masala";"100 gm";"71.100000";"79.000000";"50";
"125";"1";"Everest Kasuri Methi";"Everest Masala";"25 gm";"20.700000";"23.000000";"50";
"126";"1";"Everest Meat Masala";"Everest Masala";"50 gm";"29.700000";"33.000000";"50";
"126";"1";"Everest Meat Masala";"Everest Masala";"100 gm";"54.000000";"60.000000";"50";
"126";"1";"Everest Meat Masala";"Everest Masala";"200 gm";"99.000000";"110.000000";"50";
"127";"1";"Everest Chhole Masala ";"Everest Masala";"50 gm";"24.300000";"27.000000";"49";
"127";"1";"Everest Chhole Masala ";"Everest Masala";"100 gm";"45.000000";"50.000000";"50";
"128";"1";"Everest Pav Bhaji Masala ";"Everest Masala";"200 gm";"93.600000";"104.000000";"50";
"128";"1";"Everest Pav Bhaji Masala ";"Everest Masala";"50 gm";"27.900000";"31.000000";"50";
"128";"1";"Everest Pav Bhaji Masala ";"Everest Masala";"100 gm";"50.400000";"56.000000";"50";
"129";"0";"Everest Super Garam Masala";"Everest Masala";"200 gm";"50.400000";"56.000000";"50";
"130";"1";"Everest Chicken Masala";"Everest Masala";"50 gm";"29.700000";"33.000000";"50";
"130";"1";"Everest Chicken Masala";"Everest Masala";"100 gm";"57.000000";"64.000000";"50";
"130";"1";"Everest Chicken Masala";"Everest Masala";"200 gm";"99.000000";"110.000000";"50";
"131";"1";"Everest Jaljira Powder";"Everest Masala";"50 gm";"21.600000";"24.000000";"50";
"131";"1";"Everest Jaljira Powder";"Everest Masala";"200 gm";"68.400000";"76.000000";"50";
"132";"1";"Everest Chaat Masala ";"Everest Masala";"500 gm";"211.500000";"235.000000";"50";
"132";"1";"Everest Chaat Masala ";"Everest Masala";"100 gm";"45.000000";"50.000000";"0";
"132";"1";"Everest Chaat Masala ";"Everest Masala";"50 gm";"24.300000";"27.000000";"50";
"132";"1";"Everest Chaat Masala ";"Everest Masala";"200 gm";"75.600000";"84.000000";"50";
"133";"1";"Everest Shahi Biryani Masala ";"Everest Masala";"50 gm";"45.000000";"50.000000";"50";
"134";"1";"Everest Pani Puri Masala";"Everest Masala";"50 gm";"25.200000";"28.000000";"50";
"135";"1";"Everest Shahi Paneer Masala ";"Everest Masala";"50 gm";"31.500000";"35.000000";"50";
"136";"1";"Surf Excel Matic Front Load";"Surf Excel";"1 kg";"207.000000";"230.000000";"50";
"136";"1";"Surf Excel Matic Front Load";"Surf Excel";"2 Kg";"396.900000";"441.000000";"50";
"136";"1";"Surf Excel Matic Front Load";"Surf Excel";"500 gm";"105.300000";"117.000000";"50";
"137";"1";"Surf Excel Matic Top Load";"Surf Excel";"1 kg";"189.000000";"210.000000";"46";
"137";"1";"Surf Excel Matic Top Load";"Surf Excel";"2 Kg";"356.400000";"410.000000";"50";
"137";"1";"Surf Excel Matic Top Load";"Surf Excel";"500 gm";"96.300000";"107.000000";"0";
"138";"1";"Tide Naturals - Lime & Chandan";"Tide";"150 gm";"9.000000";"10.000000";"50";
"138";"1";"Tide Naturals - Lime & Chandan";"Tide";"500 gm";"30.000000";"32.000000";"46";
"139";"1";"Active Wheel-Lemon & Jasmine";"";"500 gm";"19.800000";"22.000000";"45";
"139";"1";"Active Wheel-Lemon & Jasmine";"";"1 kg";"40.000000";"45.000000";"44";
"140";"1";"Everest Tandoori Chicken Masala ";"Everest Masala";"50 gm";"25.200000";"28.000000";"50";
"141";"1";"Everest Tea Masala ";"Everest Masala";"100 gm";"66.600000";"74.000000";"50";
"141";"1";"Everest Tea Masala ";"Everest Masala";"25 gm";"13.500000";"15.000000";"50";
"141";"1";"Everest Tea Masala ";"Everest Masala";"50 gm";"36.000000";"40.000000";"50";
"142";"1";"Everest Sabji Masala ";"Everest Masala";"50 gm";"19.800000";"22.000000";"50";
"142";"1";"Everest Sabji Masala ";"Everest Masala";"100 gm";"31.500000";"35.000000";"50";
"143";"0";"Nirma Washing Powder";"Nirma";"260 gm";"9.000000";"10.000000";"48";
"144";"0";"Nirma Advance";"Nirma";"";"";"";"";
"145";"1";"Ariel Matic Complete Plus -For front and top load";"Ariel";"2 Kg";"407.700000";"453.000000";"50";
"146";"1";"Ghadi Detergent Powder";"Ghadi";"1 kg";"45.000000";"50.000000";"44";
"147";"1";"Rin Detergent Powder";"Rin";"1 kg";"71.000000";"76.000000";"48";
"147";"1";"Rin Detergent Powder";"Rin";"500 gm";"34.200000";"38.000000";"50";
"147";"1";"Rin Detergent Powder";"Rin";"2 kg";"136.800000";"152.000000";"50";
"147";"1";"Rin Detergent Powder";"Rin";"4 kg";"259.200000";"288.000000";"50";
"147";"1";"Rin Detergent Powder";"Rin";"6 kg";"385.200000";"428.000000";"49";
"148";"1";"Suhana Kitchen King Masala";"Suhana Masala";"200 gm";"72.900000";"81.000000";"50";
"148";"1";"Suhana Kitchen King Masala";"Suhana Masala";"50 gm";"21.600000";"24.000000";"50";
"149";"1";"Suhana Kesari Milk Masala";"Suhana Masala";"10 gm";"27.000000";"30.000000";"50";
"150";"1";"Suhana Panipuri Masala";"Suhana Masala";"15 gm";"9.000000";"10.000000";"50";
"151";"1";"Suhana Pav Bhaji Masala";"Suhana Masala";"200 gm";"75.600000";"84.000000";"50";
"151";"1";"Suhana Pav Bhaji Masala";"Suhana Masala";"50 gm";"24.300000";"27.000000";"50";
"152";"1";"Suhana Sabji Masala";"Suhana Masala";"50 gm";"18.000000";"20.000000";"50";
"152";"1";"Suhana Sabji Masala";"Suhana Masala";"200 gm";"52.200000";"58.000000";"50";
"153";"0";"Suhana Sambar Masala";"Suhana Masala";"";"";"";"";
"154";"1";"Suhana Shahi Garam Masala";"Suhana Masala";"200 gm";"72.000000";"80.000000";"50";
"154";"1";"Suhana Shahi Garam Masala";"Suhana Masala";"50 gm";"28.800000";"32.000000";"50";
"155";"1";"Suhana Chat Masala";"Suhana Masala";"200 gm";"63.900000";"71.000000";"50";
"155";"1";"Suhana Chat Masala";"Suhana Masala";"50 gm";"19.800000";"22.000000";"50";
"156";"1";"Suhana Chhole Masala";"Suhana Masala";"50 gm";"24.300000";"27.000000";"50";
"156";"1";"Suhana Chhole Masala";"Suhana Masala";"200 gm";"76.500000";"85.000000";"50";
"157";"1";"Suhana Chicken Masala";"Suhana Masala";"50 gm";"28.800000";"32.000000";"50";
"157";"1";"Suhana Chicken Masala";"Suhana Masala";"200 gm";"102.000000";"110.000000";"49";
"158";"1";"Suhana Biryani Masala";"Suhana Masala";"200 gm";"92.700000";"103.000000";"50";
"158";"1";"Suhana Biryani Masala";"Suhana Masala";"50 gm";"42.300000";"47.000000";"50";
"159";"1";"Suhana Meat(Mutton) Masala";"Suhana Masala";"25 gm";"9.000000";"10.000000";"50";
"159";"1";"Suhana Meat(Mutton) Masala";"Suhana Masala";"50 gm";"28.800000";"32.000000";"50";
"159";"1";"Suhana Meat(Mutton) Masala";"Suhana Masala";"200 gm";"72.000000";"80.000000";"50";
"160";"1";"Maggi Sauce Rich Tomato - Bottle Package";"Maggi";"1 kg";"106.000000";"133.000000";"49";
"161";"1";"Maggi Ketchup Rich Tomato bottle";"Maggi";"1 kg";"113.400000";"126.000000";"48";
"162";"1";"Knorr Chinese Hot & Sour Vegetable Soup";"Knorr";"43 gm";"40.500000";"45.000000";"50";
