id_product;product_name;attribute_name;attribute_value;Reference;wholesale_price;price;quantity;category;default_on;
"78";"Pillsbury Chakki Fresh Atta";"Quantity";"10 kg";"AAAAAA7868";"351.000000";"390.000000";"50";"Wheat Atta";"0";
"78";"Pillsbury Chakki Fresh Atta";"Quantity";"1 kg";"AAAAAA7869";"39.600000";"44.000000";"50";"Wheat Atta";"1";
"78";"Pillsbury Chakki Fresh Atta";"Quantity";"5 kg";"AAAAAA7870";"171.000000";"190.000000";"50";"Wheat Atta";"0";
"78";"Pillsbury Chakki Fresh Atta";"Quantity";"2 Kg";"";"80.000000";"86.000000";"49";"Wheat Atta";"0";
"78";"Pillsbury Chakki Fresh Atta";"Quantity";"10 kg";"AAAAAA7868";"351.000000";"390.000000";"50";"Wheat Atta";"0";
"78";"Pillsbury Chakki Fresh Atta";"Quantity";"1 kg";"AAAAAA7869";"39.600000";"44.000000";"50";"Wheat Atta";"1";
"78";"Pillsbury Chakki Fresh Atta";"Quantity";"5 kg";"AAAAAA7870";"171.000000";"190.000000";"50";"Wheat Atta";"0";
"79";"Pantene Pro-V Daily Moisture Repair Conditioner";"Volume";"80 ml";"AAAAAA7971";"67.500000";"75.000000";"50";"Shampoo ";"1";
"80";" Aashirvaad Atta - With Multigrains";"Quantity";"5 kg";"AAAAAA8072";"216.000000";"240.000000";"49";"Wheat Atta";"1";
"80";" Aashirvaad Atta - With Multigrains";"Quantity";"5 kg";"AAAAAA8072";"216.000000";"240.000000";"49";"Wheat Atta";"1";
"81";"Aashirvaad Sudh Chakki Atta";"Quantity";"1 kg";"AAAA812562";"38.000000";"42.000000";"50";"Wheat Atta";"0";
"81";"Aashirvaad Sudh Chakki Atta";"Quantity";"5 kg";"AAAA812561";"171.000000";"190.000000";"49";"Wheat Atta";"1";
"81";"Aashirvaad Sudh Chakki Atta";"Quantity";"1 kg";"AAAA812562";"38.000000";"42.000000";"50";"Wheat Atta";"0";
"81";"Aashirvaad Sudh Chakki Atta";"Quantity";"5 kg";"AAAA812561";"171.000000";"190.000000";"49";"Wheat Atta";"1";
"83";"Brooke Bond Red Label - Special";"Quantity";"250 gm";"AAAAAA8377";"105.300000";"117.000000";"50";"Tea";"1";
"83";"Brooke Bond Red Label - Special";"Quantity";"500 gm";"AAAAAA8378";"209.700000";"233.000000";"50";"Tea";"0";
"83";"Brooke Bond Red Label - Special";"Quantity";"250 gm";"AAAAAA8377";"105.300000";"117.000000";"50";"Tea";"1";
"83";"Brooke Bond Red Label - Special";"Quantity";"500 gm";"AAAAAA8378";"209.700000";"233.000000";"50";"Tea";"0";
"84";"Brooke Bond Taj Mahal - Cardamom Tea bag";"Numbers";"25 bags";"AAAAAA8479";"135.000000";"150.000000";"50";"Tea Bags";"1";
"84";"Brooke Bond Taj Mahal - Cardamom Tea bag";"Numbers";"25 bags";"AAAAAA8479";"135.000000";"150.000000";"50";"Tea Bags";"1";
"85";"Brooke Bond Taj Mahal - Green tea bag";"Numbers";"10 bags";"AAAA852579";"54.000000";"60.000000";"50";"Tea Bags";"1";
"85";"Brooke Bond Taj Mahal - Green tea bag";"Numbers";"25 bags";"AAAA852578";"135.000000";"150.000000";"50";"Tea Bags";"0";
